"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"24117",24117,1.81994310357102,2.97554451637415,20.1077980188267,1.06376999354268e-10,1.0162397161481e-06,14.9697675896291,"Wif1"
"381290",381290,-2.14388533952124,3.94406592699308,-19.074951909142,1.98293411239961e-10,1.0162397161481e-06,14.3955599972694,"Atp2b4"
"78896",78896,2.80754753168061,3.03651949599822,18.5477299539776,2.75882809721025e-10,1.0162397161481e-06,14.0741647954147,"Ecrg4"
"226101",226101,-2.32974392966639,6.22352456183714,-18.2686065016482,3.29766662710128e-10,1.0162397161481e-06,13.8580226261554,"Myof"
"16012",16012,-2.89611515497498,1.97844875752276,-18.2152473015022,3.4130664066595e-10,1.0162397161481e-06,13.469835411095,"Igfbp6"
"231830",231830,2.25339982481145,4.76059696752856,18.0262686035302,3.85816141286296e-10,1.0162397161481e-06,13.675997801785,"Micall2"
"16669",16669,-2.31272074376765,8.74189184060236,-17.0793718856911,7.26454790911778e-10,1.6401273593671e-06,13.1735741098804,"Krt19"
"55987",55987,-1.51546863348474,2.8345119413149,-16.6433318380124,9.82987025229207e-10,1.71870346311312e-06,12.8878158709092,"Cpxm2"
"231991",231991,-2.59810458251621,4.27592952345113,-16.5363425141076,1.05988541472162e-09,1.71870346311312e-06,12.6601952877333,"Creb5"
"14620",14620,3.60009376671151,3.52528050769349,16.4662668173683,1.11375541516943e-09,1.71870346311312e-06,12.5407120829716,"Gjb3"
"211577",211577,-5.14626842050727,-0.936833491489371,-16.3657336122688,1.19626285081273e-09,1.71870346311312e-06,10.4459826135036,"Mrgprf"
"20317",20317,1.71037997156101,3.3888348962286,15.7728039654619,1.83872691906788e-09,2.35635077400728e-06,12.2658647029698,"Serpinf1"
"74747",74747,2.18037012538574,6.8647911022832,15.7014468228818,1.93827892065899e-09,2.35635077400728e-06,12.2257478025222,"Ddit4"
"270150",270150,-3.21114827988465,-1.34083881791359,-15.5012570296028,2.24993134183931e-09,2.53985106617347e-06,11.1769534226848,"Ccdc153"
"11636",11636,2.76674499153779,4.30347461536789,15.2769363807749,2.66464029851249e-09,2.80746501851275e-06,11.8947105244627,"Ak1"
"20482",20482,1.88756079716885,8.49892507013266,14.6548839103004,4.31133438419719e-09,4.25852053799078e-06,11.4499595651827,"Skil"
"194126",194126,-1.7089733203604,2.50804119325202,-14.48745894792,4.92292834300151e-09,4.57658585487035e-06,11.2188699912545,"Mtmr11"
"21953",21953,-5.82788863265926,0.302071586676651,-14.4032658771297,5.26527789167124e-09,4.62291398888734e-06,9.98262632119734,"Tnni2"
"12992",12992,-6.07014263352471,3.56295004142591,-14.1656533788404,6.3776038849396e-09,5.1312762220291e-06,9.20825659131845,"Csn1s2b"
"17131",17131,1.97277123486981,6.71751901983883,14.1434805256436,6.49364239689838e-09,5.1312762220291e-06,11.0469206089302,"Smad7"
"20564",20564,-1.33143737986023,3.44179493399924,-13.8852225065725,8.02627860977564e-09,6.04034795947115e-06,10.8378628361357,"Slit3"
"16878",16878,3.73893325921556,6.68203416650215,13.733438193896,9.10570818874765e-09,6.54120964613491e-06,10.637404208887,"Lif"
"170761",170761,-3.31364787941005,-0.0601930586310906,-13.6237237638369,9.98298474420846e-09,6.58051217107905e-06,9.55326830318765,"Pdzd3"
"73847",73847,1.47467090878791,6.84086068344673,13.6225100290412,9.9931847700517e-09,6.58051217107905e-06,10.6206936139903,"Fam110a"
"12977",12977,2.8356237463904,7.4775909421709,13.4190194807549,1.18729979920669e-08,7.50563441066504e-06,10.4499474090711,"Csf1"
"12654",12654,2.34291447312524,5.57645723604579,13.2197627736826,1.40875966051017e-08,8.30659524554179e-06,10.280941737347,"Chil1"
"545370",545370,-1.56742438255758,3.10302591282644,-13.1905284982022,1.4448318732127e-08,8.30659524554179e-06,10.2540199317576,"Hmcn1"
"60599",60599,-1.258670931154,6.11839604978039,-13.1624129645771,1.48046354971749e-08,8.30659524554179e-06,10.2314073546114,"Trp53inp1"
"217166",217166,2.27887939443661,6.26087761383724,13.1288502622278,1.52424235712928e-08,8.30659524554179e-06,10.2029965262086,"Nr1d1"
"67111",67111,-2.53859640968139,3.29074574604293,-13.0408250936766,1.64582339336438e-08,8.52495704065343e-06,9.93301755710209,"Naaa"
"232016",232016,-2.59704434679791,5.00471484116641,-13.0226568497193,1.67219481308692e-08,8.52495704065343e-06,10.1110715764667,"Itprid1"
"76123",76123,-2.17189594243266,4.99093471974964,-12.763437888485,2.10239744961133e-08,1.01575074018776e-05,9.88063495945629,"Gpsm2"
"329739",329739,-1.52029112638995,4.18813046970528,-12.7535712137113,2.1209677566563e-08,1.01575074018776e-05,9.87595982169038,"Fam102b"
"79362",79362,1.78860123725529,6.1836849410102,12.7050442456097,2.21490795832165e-08,1.02954133450928e-05,9.82826856369224,"Bhlhe41"
"50786",50786,1.7513404533859,0.539535996525832,12.4309664567975,2.83691936125034e-08,1.28099067386287e-05,9.57071219947117,"Hs6st2"
"18019",18019,-2.01180757857905,5.79499693194691,-12.2756143350047,3.27106669005647e-08,1.41944450718013e-05,9.43701014141018,"Nfatc2"
"67971",67971,-2.65339801437434,4.90816304728091,-12.2284548118426,3.41661607135093e-08,1.41944450718013e-05,9.39483428021219,"Tppp3"
"235542",235542,-1.10915597439346,6.5010594105959,-12.2204082440131,3.44213902440668e-08,1.41944450718013e-05,9.38440620490898,"Ppp2r3a"
"74134",74134,-2.07146867497747,1.40704575239797,-12.2015369687971,3.50280535181124e-08,1.41944450718013e-05,9.31747003865993,"Cyp2s1"
"20677",20677,1.52240538027464,7.46932834590839,12.1354807933322,3.72438890705751e-08,1.46210906999703e-05,9.30505882920947,"Sox4"
"170770",170770,2.53705512268212,4.02940845538832,12.1107183626333,3.81130132734324e-08,1.46210906999703e-05,9.20947062331951,"Bbc3"
"12833",12833,-2.60160491915639,4.76485530267567,-11.9998358692241,4.22814821230675e-08,1.46210906999703e-05,9.17913510555243,"Col6a1"
"101612",101612,1.99727196966835,4.69815786791456,11.9764313979093,4.32225482932415e-08,1.46210906999703e-05,9.14741614925209,"Grwd1"
"22339",22339,1.79344981981335,8.41191281756165,11.9697250768192,4.34963370899353e-08,1.46210906999703e-05,9.15147227292072,"Vegfa"
"14115",14115,2.25443981638245,4.80129372614924,11.9588381755452,4.39447811368138e-08,1.46210906999703e-05,9.15384858410371,"Fbln2"
"14585",14585,2.25912109882279,0.0127067407447704,11.9518144301233,4.42367354280507e-08,1.46210906999703e-05,8.64244500982314,"Gfra1"
"16835",16835,-1.24028739806605,7.48442251346755,-11.9505666791908,4.4288818318695e-08,1.46210906999703e-05,9.13261092265032,"Ldlr"
"14287",14287,1.42377068267748,5.14381951119619,11.9477350114144,4.44072610477458e-08,1.46210906999703e-05,9.14623308478496,"Fpgs"
"72515",72515,1.93558117454103,6.45103453810206,11.8806226681125,4.73165654450576e-08,1.52610408223202e-05,9.07254483104172,"Wdr43"
"66234",66234,-2.02476055476023,4.59130091298777,-11.8235607438269,4.99516680154539e-08,1.57887232263247e-05,9.0288186295811,"Msmo1"
"98682",98682,-1.06599891043025,6.25786740766827,-11.7714547745477,5.24961245983876e-08,1.59780246591473e-05,8.96997167160314,"Mfsd6"
"12740",12740,5.31400571746547,7.40935096806576,11.7268117251855,5.4787162436078e-08,1.59780246591473e-05,8.47347043037557,"Cldn4"
"12834",12834,-2.43788158403498,4.33697993740567,-11.7187294418503,5.52133175295987e-08,1.59780246591473e-05,8.91100413042586,"Col6a2"
"14299",14299,2.19132340342942,2.94685524157437,11.7123256497745,5.55535022279445e-08,1.59780246591473e-05,8.8430412488304,"Ncs1"
"56040",56040,1.06749655977819,8.77394648619759,11.711348124679,5.56056287176097e-08,1.59780246591473e-05,8.90173748502122,"Rplp1"
"65972",65972,1.16229429490575,6.96833669114298,11.6557915768362,5.86564094281581e-08,1.65341316379794e-05,8.84573372979884,"Ifi30"
"240505",240505,-1.17342713398412,6.94642760472574,-11.6342794417142,5.98856417022674e-08,1.65341316379794e-05,8.82382087567169,"Cdc42bpg"
"381410",381410,-1.15866701113843,4.47669736385045,-11.618356690315,6.0813322909464e-08,1.65341316379794e-05,8.8342315984679,"Zfp408"
"108897",108897,1.73335631251177,1.86983191724851,11.6024678013064,6.17544551240272e-08,1.65341316379794e-05,8.66928846282202,"Aif1l"
"12266",12266,4.01890498032725,8.37304532574375,11.5747948648928,6.34311872526983e-08,1.65341316379794e-05,8.78875386463625,"C3"
"11535",11535,1.37344321929428,4.14815789442212,11.5508418272014,6.49220830088249e-08,1.65341316379794e-05,8.7674622219967,"Adm"
"107094",107094,1.69930931023095,6.24391538398807,11.5169773608157,6.70945449715106e-08,1.65341316379794e-05,8.73084913903456,"Rrp12"
"14621",14621,4.58436254136417,2.95392217518149,11.5116282103987,6.7444793000548e-08,1.65341316379794e-05,8.52978098319853,"Gjb4"
"226251",226251,-1.07755409842345,4.63069021032293,-11.50489973672,6.78881499602863e-08,1.65341316379794e-05,8.70491192541039,"Ablim1"
"21827",21827,-3.47891120549794,2.55316595217784,-11.5031652713096,6.80029458661517e-08,1.65341316379794e-05,8.48449603065886,"Thbs3"
"14748",14748,1.16885117101224,4.87124223466939,11.4427497299079,7.21347495948609e-08,1.72729936757149e-05,8.64174761057566,"Gpr3"
"13400",13400,-1.79805038370346,5.29690280793962,-11.3969125440447,7.54494597756318e-08,1.77970636163296e-05,8.59226110152482,"Dmpk"
"11555",11555,1.57995071552069,5.58012098734564,11.3544532858907,7.86663266386601e-08,1.82829797970204e-05,8.57227884271198,"Adrb2"
"13511",13511,-0.920155863371263,6.99861242895074,-11.3054639185063,8.25622126192387e-08,1.86542662409072e-05,8.49773466008526,"Dsg2"
"14038",14038,2.23184627486315,7.88093477114867,11.3047001975047,8.26245657342133e-08,1.86542662409072e-05,8.5263631858071,"Wfdc18"
"68728",68728,-0.977413619268487,6.64149208074602,-11.2637304194779,8.60448492241698e-08,1.91528562977293e-05,8.45612306266353,"Trp53inp2"
"67619",67619,1.25074631124228,4.93701234604145,11.1905754853868,9.25365108387029e-08,2.03117641290953e-05,8.4208588966366,"Nob1"
"20539",20539,1.08271377390338,7.81697516168031,11.1439028100198,9.69519898593038e-08,2.09894417498142e-05,8.3372915336104,"Slc7a5"
"22704",22704,-1.04767043840983,6.19468007368988,-11.1269742507794,9.86090451569524e-08,2.10596939143308e-05,8.31736611137767,"Zfp46"
"52040",52040,-1.83437209736393,7.17547826653778,-11.1070473706686,1.00598694352269e-07,2.11981568739102e-05,8.29978309073792,"Ppp1r10"
"235505",235505,-2.0208368745647,1.47332067437285,-10.9980925949138,1.12268717022971e-07,2.33346387710734e-05,8.21043790905259,"Cd109"
"17762",17762,-1.15024463506918,2.06731481360553,-10.9856555159661,1.13690659666708e-07,2.33346387710734e-05,8.20343777026507,"Mapt"
"14113",14113,1.58959991915183,4.98062525841005,10.9137564549166,1.22299618990893e-07,2.47797843401547e-05,8.1439141791666,"Fbl"
"83554",83554,1.67766052577555,3.5683444199622,10.8882405243683,1.25521096350236e-07,2.48591016189102e-05,8.12004533169313,"Fstl3"
"118449",118449,-1.81862289346539,4.33658482776022,-10.8823968961945,1.26271634223261e-07,2.48591016189102e-05,8.07512718397565,"Synpo2"
"16785",16785,1.09905840457324,8.80642034574342,10.8736047284673,1.27409974128811e-07,2.48591016189102e-05,8.06173843448414,"Rpsa"
"229595",229595,-1.97037017796656,4.21407207130784,-10.8117618052358,1.35735266832111e-07,2.61604897196913e-05,8.03761193007394,"Adamtsl4"
"211064",211064,1.44583909163383,3.94643017156436,10.7422832894291,1.45791202757074e-07,2.77600502213589e-05,7.95235743444225,"Alkbh1"
"23961",23961,-1.81175855992463,1.41077832413238,-10.6894488009487,1.53973274795523e-07,2.8968971843672e-05,7.85066792742402,"Oas1b"
"69237",69237,1.0385318299206,6.06105681180188,10.5803342364691,1.72475075513357e-07,3.20681893342717e-05,7.76306818472967,"Gtpbp4"
"16819",16819,1.80058127345732,10.6990796335498,10.5140469262672,1.84870808919794e-07,3.39732356298654e-05,7.70207303367797,"Lcn2"
"59031",59031,-2.19720808100102,1.9801601312164,-10.4977789206126,1.8805696346595e-07,3.40970145186576e-05,7.6393412353542,"Chst12"
"20319",20319,3.38362341411879,2.77994069969196,10.4887067530902,1.89859356975567e-07,3.40970145186576e-05,7.38901177088468,"Sfrp2"
"108673",108673,1.4102607142072,4.76092164214629,10.4752454457745,1.92568025831045e-07,3.41948885419532e-05,7.70049788558513,"Ccdc86"
"16665",16665,-1.98836813553246,6.16792027907501,-10.4593723615711,1.95815419163078e-07,3.43851876050365e-05,7.63620534271854,"Krt15"
"23790",23790,-1.17958665906724,4.58546158856824,-10.4440387030605,1.99008358974694e-07,3.45618473102865e-05,7.61587907702498,"Coro1c"
"20444",20444,-1.05399519850561,2.42148871120704,-10.3664984889031,2.16033955521678e-07,3.59786223174329e-05,7.55132183920892,"St3gal2"
"13731",13731,-1.12175035276373,5.88328159181707,-10.3652585223539,2.16318606310855e-07,3.59786223174329e-05,7.51945999288337,"Emp2"
"170459",170459,-1.59525068348392,3.70864696240207,-10.3626632461567,2.16915690875613e-07,3.59786223174329e-05,7.58369114383483,"Stard4"
"17931",17931,-1.35279799642634,6.95713623095108,-10.3543825391537,2.18832660254852e-07,3.59786223174329e-05,7.51805239375809,"Ppp1r12a"
"68108",68108,1.54392728018033,4.56959734034182,10.3462734886926,2.20727530621832e-07,3.59786223174329e-05,7.5643635302222,"Snhg17"
"67702",67702,1.01607133259554,6.34991602529809,10.3434864865539,2.21382841064431e-07,3.59786223174329e-05,7.51837080283008,"Rnf149"
"54189",54189,-0.936314938994601,4.90340626407006,-10.3350750696636,2.23373323879781e-07,3.59786223174329e-05,7.49156451521453,"Rabep1"
"327900",327900,1.27501039292475,5.23764059874696,10.3266820724091,2.25378613605787e-07,3.59786223174329e-05,7.52910628918877,"Ubtd2"
"11910",11910,-1.8769214688827,10.1548238093646,-10.3063918572583,2.30306726162746e-07,3.63976750027604e-05,7.47700241171823,"Atf3"
"17754",17754,-1.58213951599279,0.991027502993424,-10.2690817518849,2.39673237809909e-07,3.75029292113644e-05,7.48554024644906,"Map1a"
"18432",18432,1.17342322529611,7.45511581156182,10.2446937249309,2.46016247458972e-07,3.81180468121724e-05,7.38770643308557,"Mybbp1a"
