"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"78896",78896,2.80754753168061,3.03651949599822,18.5477299539776,2.75882809721025e-10,1.0162397161481e-06,14.0741647954147,"Ecrg4"
"231830",231830,2.25339982481145,4.76059696752856,18.0262686035302,3.85816141286296e-10,1.0162397161481e-06,13.675997801785,"Micall2"
"14620",14620,3.60009376671151,3.52528050769349,16.4662668173683,1.11375541516943e-09,1.71870346311312e-06,12.5407120829716,"Gjb3"
"74747",74747,2.18037012538574,6.8647911022832,15.7014468228818,1.93827892065899e-09,2.35635077400728e-06,12.2257478025222,"Ddit4"
"11636",11636,2.76674499153779,4.30347461536789,15.2769363807749,2.66464029851249e-09,2.80746501851275e-06,11.8947105244627,"Ak1"
"16878",16878,3.73893325921556,6.68203416650215,13.733438193896,9.10570818874765e-09,6.54120964613491e-06,10.637404208887,"Lif"
"12977",12977,2.8356237463904,7.4775909421709,13.4190194807549,1.18729979920669e-08,7.50563441066504e-06,10.4499474090711,"Csf1"
"12654",12654,2.34291447312524,5.57645723604579,13.2197627736826,1.40875966051017e-08,8.30659524554179e-06,10.280941737347,"Chil1"
"217166",217166,2.27887939443661,6.26087761383724,13.1288502622278,1.52424235712928e-08,8.30659524554179e-06,10.2029965262086,"Nr1d1"
"170770",170770,2.53705512268212,4.02940845538832,12.1107183626333,3.81130132734324e-08,1.46210906999703e-05,9.20947062331951,"Bbc3"
"14115",14115,2.25443981638245,4.80129372614924,11.9588381755452,4.39447811368138e-08,1.46210906999703e-05,9.15384858410371,"Fbln2"
"14585",14585,2.25912109882279,0.0127067407447704,11.9518144301233,4.42367354280507e-08,1.46210906999703e-05,8.64244500982314,"Gfra1"
"12740",12740,5.31400571746547,7.40935096806576,11.7268117251855,5.4787162436078e-08,1.59780246591473e-05,8.47347043037557,"Cldn4"
"14299",14299,2.19132340342942,2.94685524157437,11.7123256497745,5.55535022279445e-08,1.59780246591473e-05,8.8430412488304,"Ncs1"
"12266",12266,4.01890498032725,8.37304532574375,11.5747948648928,6.34311872526983e-08,1.65341316379794e-05,8.78875386463625,"C3"
"14621",14621,4.58436254136417,2.95392217518149,11.5116282103987,6.7444793000548e-08,1.65341316379794e-05,8.52978098319853,"Gjb4"
"14038",14038,2.23184627486315,7.88093477114867,11.3047001975047,8.26245657342133e-08,1.86542662409072e-05,8.5263631858071,"Wfdc18"
"20319",20319,3.38362341411879,2.77994069969196,10.4887067530902,1.89859356975567e-07,3.40970145186576e-05,7.38901177088468,"Sfrp2"
"26897",26897,2.12400413163055,5.66746156900829,9.92549334874793,3.47923052660111e-07,4.65981010528847e-05,7.11941239672789,"Acot1"
"625638",625638,2.23242076992951,-1.29267809043253,9.85061262590062,3.77879257394883e-07,4.85528762916157e-05,6.58720156906588,"Fam43b"
"226025",226025,2.2478137163973,1.20718272099386,9.82660210449023,3.88061558663592e-07,4.94590715574146e-05,7.0019694680216,"Trpm3"
"78748",78748,2.11378056299083,2.93380060730999,9.77473291136793,4.11076908929976e-07,5.11547989663727e-05,6.90287178670242,"Rassf10"
"16763",16763,2.09897222123379,4.1778070108399,9.71083369654318,4.41462561415998e-07,5.32585826001407e-05,6.71580422872701,"Lad1"
"53311",53311,2.11071961554143,1.90920665710703,9.53274243526474,5.3959368758361e-07,6.0054497454728e-05,6.68779781308656,"Mybph"
"65112",65112,2.30681271620411,7.46530940437466,9.48577709411703,5.69204381249741e-07,6.20393520087649e-05,6.53435368807374,"Pmepa1"
"76509",76509,2.82573099472255,8.51294549659818,9.12721214610401,8.61798090305194e-07,7.49227085415694e-05,6.16889009410823,"Plet1"
"228413",228413,3.28939242712679,4.0305102231897,9.06448827282719,9.27842558748651e-07,7.79979989279983e-05,5.93169087953813,"Prrg4"
"14219",14219,2.03321563855272,7.83482242164195,9.0521404370386,9.41471736436335e-07,7.87249699610573e-05,6.04665443811795,"Ccn2"
"12739",12739,2.31741072609539,5.19198618432298,8.72978625818847,1.38515828284454e-06,9.68630154959074e-05,5.65128688428423,"Cldn3"
"320685",320685,2.32879213692089,2.89795361560022,8.62982181531835,1.56474794928315e-06,0.000103369669286296,5.47382352177763,"Dctd"
"214685",214685,2.29582834670534,4.43741606604785,8.54046233382094,1.74646111880828e-06,0.000109964428373092,5.44995991131665,"Chadl"
"26365",26365,3.50857149381512,6.34310195566255,8.49642075860867,1.84421261078059e-06,0.000114747779924316,5.42862321555908,"Ceacam1"
"109731",109731,2.79642886943172,0.862539184707761,8.36590244687596,2.16988288587974e-06,0.000130390985279253,5.30211342516873,"Maob"
"211945",211945,2.36243759276796,3.37410808982905,8.29639107178205,2.36797947756965e-06,0.000137561218203255,5.16179087372527,"Plekhh1"
"18491",18491,2.64116508854189,4.18732846352732,8.21996884433691,2.60830312323106e-06,0.000145359817860739,5.07169847052618,"Pappa"
"56419",56419,2.41815113537252,2.91423663055116,8.04890248059673,3.24603248128068e-06,0.000166690123238683,4.78214983105487,"Diaph3"
"12268",12268,2.15553436865472,5.16797136487395,8.01995106148035,3.36954856829921e-06,0.000169055065312383,4.7801412316914,"C4b"
"140474",140474,6.75002841449399,3.25865052519225,7.99730989864777,3.46963988936252e-06,0.00017248949786608,2.35427798721555,"Muc4"
"20271",20271,2.07291177563801,1.64003024106296,7.962380580446,3.63033426512351e-06,0.000176701288800688,4.8290196766859,"Scn5a"
"71819",71819,2.78925576151662,3.26622755798843,7.94411531700645,3.71751377211833e-06,0.000179120694068775,4.68779756213861,"Kif23"
"66977",66977,2.74586856655095,2.18393274312071,7.82362424872608,4.35168728410894e-06,0.000198125393271174,4.15357746663798,"Nuf2"
"17279",17279,3.38616677166093,2.34542951269076,7.74589486599658,4.82143262023037e-06,0.000207004812910794,3.74214501252035,"Melk"
